Rank,Marks
1,287
101,146
201,124
301,111
401,103
501,96
601,91
701,87
801,83
901,80
1001,77
1101,75
1201,73
1301,71
1401,69
1501,67
1601,66
1701,65
1801,63
1901,62
2001,61
2101,60
2201,58
2301,58
2401,56
2501,55
2601,55
2701,54
2801,53
2901,52
3001,51
3101,50
3201,50
3301,49
3401,48
3501,47
3601,47
3701,46
3801,46
3901,45
4001,44
4101,44
4201,43
4301,43
4401,42
4501,42
4601,41
4701,41
4801,40
4901,40
5001,39
5101,39
5201,38
5301,38
5401,37
5501,37
5601,37
5701,36
5801,36
5901,35
6001,35
