Rank,Marks
1,292
101,105
201,88
301,77
401,70
501,64
601,60
701,57
801,54
901,52
1001,50
1101,48
1201,46
1301,45
1401,43
1501,42
1601,41
1701,39
1801,38
1901,37
2001,36
2101,35
